iter	Passed	Remaining
857	2162	357
858	2164	355
859	2165	352
860	2169	350
861	2171	347
862	2173	344
863	2174	342
864	2176	339
865	2178	337
866	2180	334
867	2183	332
868	2184	329
869	2186	326
870	2187	324
871	2189	321
872	2190	318
873	2192	316
874	2193	313
875	2194	310
876	2198	308
877	2200	305
878	2201	303
879	2203	300
880	2204	297
881	2205	295
882	2207	292
883	2208	289
884	2209	287
885	2213	284
886	2214	282
887	2216	279
888	2217	276
889	2219	274
890	2220	271
891	2221	269
892	2223	266
893	2224	263
894	2226	261
895	2229	258
896	2230	256
897	2232	253
898	2233	250
899	2234	248
900	2236	245
901	2237	243
902	2239	240
903	2242	238
904	2244	235
905	2245	232
906	2246	230
907	2248	227
908	2249	225
909	2251	222
910	2252	220
911	2254	217
912	2258	215
913	2260	212
914	2261	210
915	2263	207
916	2264	205
917	2266	202
918	2268	199
919	2269	197
920	2273	194
921	2274	192
922	2276	189
923	2277	187
924	2278	184
925	2280	182
926	2281	179
927	2283	177
928	2288	174
929	2294	172
930	2297	170
931	2298	167
932	2300	165
933	2304	162
934	2306	160
935	2307	157
936	2309	155
937	2311	152
938	2313	150
939	2319	148
940	2320	145
941	2322	143
942	2324	140
943	2326	138
944	2328	135
945	2330	133
946	2335	130
947	2336	128
948	2338	125
949	2340	123
950	2341	120
951	2343	118
952	2344	115
953	2346	113
954	2350	110
955	2351	108
956	2352	105
957	2354	103
958	2355	100
959	2357	98
960	2358	95
961	2359	93
962	2361	90
963	2364	88
964	2366	85
965	2367	83
966	2369	80
967	2370	78
968	2372	75
969	2373	73
970	2375	70
971	2376	68
972	2379	66
973	2381	63
974	2382	61
975	2384	58
976	2385	56
977	2387	53
978	2388	51
979	2389	48
980	2390	46
981	2394	43
982	2395	41
983	2397	38
984	2398	36
985	2399	34
986	2401	31
987	2402	29
988	2404	26
989	2405	24
990	2408	21
991	2410	19
992	2412	17
993	2413	14
994	2414	12
995	2416	9
996	2417	7
997	2418	4
998	2420	2
999	2423	0
